Compliance Period,School District,School,County,Type of Organization,BEDS Code,School Website,Number of Outlets that Require Sampling,Number of Outlets Sampled 2023,Number of Outlets Sampled 2024,Number of Outlets Sampled 2025,Sampling Complete,"Number of Outlets, Result ≤ 5 ppb","Number of Outlets, Result > 5 ppb",All Results Received,Out of Service or Addressed,Remediation Status,School Street,School City,School State,School ZIP Code,Date Survey Updated,County Location,Location,Cleaned_school_name,PS_No,Free_lunch,Total_students,Ratio_free
2023-2025,SOUTH COUNTRY CENTRAL SCHOOL,FRANK P. LONG INTERMEDIATE SCHOOL,Suffolk,Public School,580235060005,https://www.southcountry.org/,20.0,2.0,13.0,,No,15,0,Yes,,,BROOKHAVEN AVE,BELLPORT,NY,11713,06/18/2024,,,FRANK P LONG INTERMEDIATE SCHOOL,,307.0,533.0,0.575984990619137
2023-2025,SOUTH COUNTRY CENTRAL SCHOOL,KREAMER STREET ELEM SCHOOL,Suffolk,Public School,580235060002,https://www.southcountry.org/,16.0,9.0,7.0,,No,16,0,Yes,,,KREAMER ST,BELLPORT,NY,11713,05/14/2024,,,KREAMER STREET  SCHOOL,,139.0,287.0,0.4843205574912892
2023-2025,SOUTH COUNTRY CENTRAL SCHOOL,VERNE W CRITZ ELEM SCHOOL,Suffolk,Public School,580235060007,https://www.southcountry.org/,12.0,2.0,10.0,,No,11,1,Yes,Yes,Ongoing,185 N DUNTON AVE,E PATCHOGUE,NY,11772,06/18/2024,,,VERNE CRITZ  SCHOOL,,131.0,289.0,0.4532871972318339
2023-2025,SOUTH HUNTINGTON SCHOOL DISTRICT,BIRCHWOOD SCHOOL,Suffolk,Public School,580413030008,https://www.shufsd.org/,49.0,,,49.0,Yes,14,35,Yes,Yes,Ongoing,WOLF HILL RD,HUNTINGTON STATION,NY,11746,07/09/2025,,,BIRCHWOOD SCHOOL,,324.0,636.0,0.5094339622641509
2023-2025,SOUTH HUNTINGTON SCHOOL DISTRICT,COUNTRYWOOD PRIMARY CENTER,Suffolk,Public School,580413030009,https://www.shufsd.org/,35.0,,,35.0,Yes,24,11,Yes,Yes,Ongoing,499 OLD COUNTRY RD,HUNTINGTON STATION,NY,11746,07/09/2025,,,COUNTRYWOOD  CENTER,,286.0,616.0,0.4642857142857143
2023-2025,SOUTH HUNTINGTON SCHOOL DISTRICT,HENRY L STIMSON J H S,Suffolk,Public School,580413030013,https://www.shufsd.org/,54.0,,,54.0,Yes,48,6,Yes,Yes,Ongoing,OAKWOOD RD,HUNTINGTON STATION,NY,11746,07/09/2025,,,HENRY STIMSON S,,375.0,837.0,0.4480286738351254
2023-2025,SOUTH HUNTINGTON SCHOOL DISTRICT,MAPLEWOOD ELEM SCHOOL,Suffolk,Public School,580413030012,https://www.shufsd.org/,53.0,,,53.0,Yes,42,11,Yes,Yes,Ongoing,SCHOOL LN,HUNTINGTON STATION,NY,11746,07/09/2025,,,MAPLEWOOD  SCHOOL,,232.0,576.0,0.4027777777777778
2023-2025,SOUTH HUNTINGTON SCHOOL DISTRICT,OAKWOOD PRIMARY CENTER,Suffolk,Public School,580413030003,https://www.shufsd.org/,49.0,,,49.0,Yes,35,14,Yes,Yes,Ongoing,264 W 22ND ST,HUNTINGTON,NY,11743,07/09/2025,,,OAKWOOD  CENTER,,327.0,643.0,0.5085536547433903
2023-2025,SOUTH HUNTINGTON SCHOOL DISTRICT,SILAS WOOD 6TH GRADE CENTER-STIMSON ANNEX,Suffolk,Public School,580413030005,https://www.shufsd.org/,19.0,,,19.0,Yes,15,4,Yes,Yes,Ongoing,23 HARDING PL,HUNTINGTON STATION,NY,11746,07/09/2025,,,SILAS WOOD 6TH GRADE CENTER-STIMSON ANNEX,,199.0,426.0,0.4671361502347418
2023-2025,SOUTH HUNTINGTON SCHOOL DISTRICT,WALT WHITMAN H S,Suffolk,Public School,580413030011,https://www.shufsd.org/,68.0,,,68.0,Yes,58,10,Yes,Yes,Ongoing,WEST HILLS RD,HUNTINGTON STATION,NY,11746,07/09/2025,,,WALT WHITMAN S,,878.0,1981.0,0.4432104997476022
2023-2025,SOUTH JEFFERSON CENTRAL SCHOOL,GEN BRUCE E CLARK HS,Jefferson,Public School,220101040002,https://www.spartanpride.org/,33.0,0.0,33.0,0.0,Yes,24,9,Yes,Yes,Ongoing,ROUTE 11,ADAMS,NY,13605,10/22/2024,,,GEN BRUCE CLARK,,284.0,654.0,0.4342507645259938
2023-2025,SOUTH JEFFERSON CENTRAL SCHOOL,MANNSVILLE MANOR ELEM SCHOOL,Jefferson,Public School,220101040004,https://www.spartanpride.org/,72.0,0.0,72.0,0.0,Yes,56,16,Yes,Yes,Ongoing,PO BOX 10,ADAMS,NY,13605,12/13/2024,,,MANNSVILLE MANOR  SCHOOL,,160.0,330.0,0.4848484848484848
2023-2025,SOUTH JEFFERSON CENTRAL SCHOOL,MAYNARD P WILSON SCHOOL,Jefferson,Public School,220101040003,https://www.spartanpride.org/,45.0,0.0,45.0,0.0,Yes,20,15,Yes,Yes,Ongoing,13180 US RT 11,ADAMS,NY,13605,12/13/2024,,,MAYNARD WILSON SCHOOL,,170.0,479.0,0.3549060542797494
2023-2025,SOUTH JEFFERSON CENTRAL SCHOOL,SOUTH JEFFERSON MIDDLE SCHOOL,Jefferson,Public School,220101040006,https://www.spartanpride.org/,22.0,,22.0,,Yes,13,9,Yes,Yes,Ongoing,11060 US RT. 11,ADAMS,NY,13605,05/23/2025,,,SOUTH JEFFERSON MIDDLE SCHOOL,,259.0,589.0,0.4397283531409168
2023-2025,SOUTH KORTRIGHT CENTRAL SCHOOL DISTRICT,SOUTH KORTRIGHT CENTRAL SCHOOL,Delaware,Public School,121702040001,skcs.org,59.0,,,28.0,No,27,1,No,Yes,Ongoing,"58200 STATE HWY 10, PO BOX 113",SOUTH KORTRIGHT,NY,13842,06/05/2025,,,SOUTH KORTRIGHT CENTRAL SCHOOL,,140.0,313.0,0.4472843450479233
2023-2025,SOUTH SENECA CENTRAL SCHOOL,SOUTH SENECA ELEM SCHOOL,Seneca,Public School,560501040003,https://www.southseneca.org/page/district-facilities,22.0,22.0,0.0,0.0,No,11,11,Yes,Yes,Ongoing,SOUTH SENECA ELEM SCHOOL,INTERLAKEN,NY,14847,08/09/2023,,,SOUTH SENECA  SCHOOL,,145.0,295.0,0.4915254237288136
2023-2025,SOUTH SENECA CENTRAL SCHOOL,SOUTH SENECA MIDDLE HIGH SCHOOL,Seneca,Public School,560501040004,https://www.southseneca.org/page/district-facilities,25.0,25.0,0.0,0.0,No,23,2,Yes,Yes,Ongoing,MAIN ST,OVID,NY,14521,08/09/2023,,,SOUTH SENECA MIDDLE HIGH SCHOOL,,153.0,339.0,0.4513274336283185
2023-2025,SOUTHAMPTON UNION FREE SCHOOL,SOUTHAMPTON ELEM SCHOOL,Suffolk,Public School,580906030001,https://www.southamptonschools.org,18.0,0.0,18.0,0.0,Yes,18,0,Yes,,Complete,30 PINE ST,SOUTHAMPTON,NY,11968,12/10/2024,,,SOUTHAMPTON  SCHOOL,,183.0,385.0,0.4753246753246753
2023-2025,SOUTHAMPTON UNION FREE SCHOOL,SOUTHAMPTON INTRMD SCH,Suffolk,Public School,580906030002,https://www.southamptonschools.org,31.0,0.0,31.0,0.0,Yes,31,0,Yes,,Complete,70 LELAND LN,SOUTHAMPTON,NY,11968,12/10/2024,,,SOUTHAMPTON INTRMD SCH,,179.0,348.0,0.514367816091954
2023-2025,SOUTHAMPTON UNION FREE SCHOOL,SOUTHAMPTON S H S,Suffolk,Public School,580906030003,https://www.southamptonschools.org,40.0,0.0,40.0,0.0,Yes,39,1,Yes,Yes,Complete,141 NARROW LN,SOUTHAMPTON,NY,11968,12/10/2024,,,SOUTHAMPTON S,,299.0,588.0,0.5085034013605442
2023-2025,SOUTHERN CAYUGA CENTRAL SCHOOL DISTRICT,EMILY HOWLAND ELEMENTARY SCHOOL,Cayuga,Public School,050701040007,https://www.southerncayuga.org/932,6.0,6.0,6.0,0.0,Yes,6,0,Yes,,,2892 RT 34 B,AURORA,NY,13026,11/19/2024,,,EMILY HOWLAND ELEMENTARY SCHOOL,,,,
2023-2025,SOUTHERN CAYUGA CENTRAL SCHOOL DISTRICT,SOUTHERN CAYUGA JSHS,Cayuga,Public School,050701040005,https://www.southerncayuga.org/932,14.0,14.0,6.0,0.0,Yes,6,0,Yes,,,2384 STATE ROUTE 34B,POPLAR RIDGE,NY,13139,11/19/2024,,,SOUTHERN CAYUGA JSHS,,132.0,282.0,0.4680851063829787
2023-2025,SOUTHOLD UNION FREE SCHOOL,SOUTHOLD ELEMENTARY,Suffolk,Public School,581005020002,https://www.southoldufsd.com/district/building___grounds/lead_testing,46.0,0.0,35.0,,Yes,31,4,Yes,Yes,Ongoing,OAKLAWN AVE,SOUTHOLD,NY,11971,06/25/2024,,,SOUTHOLD ELEMENTARY,,90.0,312.0,0.2884615384615384
2023-2025,SOUTHOLD UNION FREE SCHOOL,SOUTHOLD JR - SR HS,Suffolk,Public School,581005020003,https://www.southoldufsd.com/district/building___grounds/lead_testing,46.0,0.0,31.0,,Yes,30,1,Yes,Yes,Ongoing,OAKLAWN AVE,SOUTHOLD,NY,11971,06/25/2024,,,SOUTHOLD JR - SR,,153.0,361.0,0.4238227146814404
2023-2025,SPENCER VAN ETTEN CENTRAL SCHOOL,SPENCER VAN ETTEN ELEMENTARY SCHOOL,Tioga,Public School,600801040003,WWW.SVECSD.ORG,43.0,0.0,43.0,0.0,Yes,42,1,Yes,Yes,Complete,7 LANGFORD ST,VAN ETTEN,NY,14889,02/28/2025,,,SPENCER VAN ETTEN ELEMENTARY SCHOOL,,137.0,241.0,0.5684647302904564
2023-2025,SPENCER VAN ETTEN CENTRAL SCHOOL,SPENCER VAN ETTEN HIGH SCHOOL,Tioga,Public School,600801040002,www.svecsd.org,28.0,0.0,28.0,0.0,Yes,26,2,Yes,Yes,Complete,15 DARTTS CROSSROAD,SPENCER,NY,14883,02/28/2025,,,SPENCER VAN ETTEN HIGH SCHOOL,,137.0,241.0,0.5684647302904564
2023-2025,SPENCER VAN ETTEN CENTRAL SCHOOL,SPENCER VAN ETTEN MIDDLE SCHOOL,Tioga,Public School,600801040001,www.svecsd.org,40.0,0.0,40.0,0.0,Yes,40,0,Yes,,,1 CENTER ST,SPENCER,NY,14883,02/28/2025,,,SPENCER VAN ETTEN MIDDLE SCHOOL,,139.0,230.0,0.6043478260869565
2023-2025,SPRINGS UNION FREE SCHOOL,SPRINGS SCHOOL,Suffolk,Public School,580304020001,https://www.springsschool.org/ourpages/auto/2022/12/21/52210042/Districtwide%20Lead%20in%20Water%20Report%202023-2025%2010_01_2023.pdf?rnd=1730394427962,27.0,27.0,0.0,0.0,Yes,27,0,Yes,Yes,Complete,48 SCHOOL ST,E HAMPTON,NY,11937,06/09/2025,,,SPRINGS SCHOOL,,,,
2023-2025,ST REGIS FALLS CENTRAL SCHOOL,ST REGIS FALLS CENTRAL SCHOOL,New York,Public School,161801040001,https://www.stregiscsd.org/,49.0,0.0,49.0,0.0,Yes,49,0,Yes,Yes,,92 N MAIN STREET,ST REGIS FALLS,NY,12980,03/27/2025,,,ST REGIS FALLS CENTRAL SCHOOL,,309.0,354.0,0.8728813559322034
2023-2025,STAMFORD CENTRAL SCHOOL DISTRICT,STAMFORD CENTRAL SCHOOL,Delaware,Public School,121701040001,stamfordcs.org,21.0,0.0,0.0,21.0,No,20,1,Yes,Yes,Not Started,1 RIVER ST,STAMFORD,NY,12167,07/08/2025,,,STAMFORD CENTRAL SCHOOL,,141.0,248.0,0.5685483870967742
2023-2025,STARPOINT CENTRAL SCHOOL,FRICANO PRIMARY SCHOOL,Niagara,Public School,401001060003,starpointcsd.org,35.0,0.0,35.0,0.0,Yes,35,0,Yes,Yes,Complete,4363 MAPLETON RD,LOCKPORT,NY,14094,06/06/2025,,,FRICANO  SCHOOL,,94.0,599.0,0.1569282136894824
2023-2025,STARPOINT CENTRAL SCHOOL,REGAN INTERMEDIATE SCHOOL,Niagara,Public School,401001060005,starpointcsd.org,54.0,0.0,54.0,0.0,Yes,54,0,Yes,Yes,Complete,4363 MAPLETON ROAD,LOCKPORT,NY,14094,06/06/2025,,,REGAN INTERMEDIATE SCHOOL,,114.0,662.0,0.1722054380664652
2023-2025,STARPOINT CENTRAL SCHOOL,STARPOINT HIGH SCHOOL,Niagara,Public School,401001060001,starpointcsd.org,38.0,0.0,38.0,0.0,Yes,38,0,Yes,Yes,Complete,4363 MAPLETON RD,LOCKPORT,NY,14094,06/06/2025,,,STARPOINT HIGH SCHOOL,,138.0,899.0,0.1535038932146829
2023-2025,STARPOINT CENTRAL SCHOOL,STARPOINT MIDDLE SCHOOL,Niagara,Public School,401001060004,starpointcsd.org,31.0,0.0,31.0,0.0,Yes,31,0,Yes,Yes,Complete,4363 MAPLETON RD,LOCKPORT,NY,14094,06/06/2025,,,STARPOINT MIDDLE SCHOOL,,113.0,704.0,0.1605113636363636
2023-2025,STOCKBRIDGE VALLEY CENTRAL SCHOOL,STOCKBRIDGE VALLEY CENTRAL SCHOOL,Madison,Public School,251501040001,https://resources.finalsite.net/images/v1733841439/stockbridgevalleyorg/fyhnixlilsg6rbjqphah/WaterTestingLabReport2024.pdf,48.0,0.0,48.0,0.0,Yes,48,0,Yes,,Complete,6011 WILLIAMS RD,MUNNSVILLE,NY,13409,02/13/2025,,,STOCKBRIDGE VALLEY CENTRAL SCHOOL,,202.0,393.0,0.5139949109414759
2023-2025,SUFFERN CENTRAL SCHOOLS,CHERRY LANE ELEM SCHOOL,Rockland,Public School,500401060001,www.sufferncentral.org,41.0,35.0,6.0,,Yes,41,0,Yes,Yes,Complete,1 HEATHER DR,SUFFERN,NY,10901,10/15/2024,,,CHERRY LANE  SCHOOL,,115.0,272.0,0.4227941176470588
2023-2025,SUFFERN CENTRAL SCHOOLS,MONTEBELLO ROAD SCHOOL,Rockland,Public School,500401060010,www.sufferncentral.org,17.0,17.0,,,Yes,17,0,Yes,,,MONTEBELLO RD,SUFFERN,NY,10901,03/18/2024,,,MONTEBELLO ROAD SCHOOL,,,,
2023-2025,SUFFERN CENTRAL SCHOOLS,R P CONNORS,Rockland,Public School,500401060002,www.sufferncentral.org,32.0,29.0,3.0,,Yes,32,0,Yes,,,CYPRESS RD,SUFFERN,NY,10901,03/18/2024,,,R CONNORS,,,,
2023-2025,SUFFERN CENTRAL SCHOOLS,SLOATSBURG ELEM SCHOOL,Rockland,Public School,500401060004,www.sufferncentral.org,25.0,13.0,12.0,,Yes,25,0,Yes,,,SECOND ST,SLOATSBURG,NY,10974,03/18/2024,,,SLOATSBURG  SCHOOL,,,,
2023-2025,SUFFERN CENTRAL SCHOOLS,SUFFERN MIDDLE SCHOOL,Rockland,Public School,500401060011,www.sufferncentral.org,39.0,39.0,,,Yes,39,0,Yes,,,HEMION RD,SUFFERN,NY,10901,03/18/2024,,,SUFFERN MIDDLE SCHOOL,,362.0,847.0,0.4273907910271546
2023-2025,SUFFERN CENTRAL SCHOOLS,SUFFERN S H S,Rockland,Public School,500401060009,www.sufferncentral.org,49.0,34.0,15.0,,Yes,49,0,Yes,,,49 VIOLA RD,SUFFERN,NY,10901,03/18/2024,,,SUFFERN S,,529.0,1428.0,0.3704481792717087
2023-2025,SULLIVAN WEST CSD,SULLIVAN WEST HIGH SCHOOL,Sullivan,Public School,591502040004,https://www.swcsd.org,117.0,14.0,0.0,103.0,No,91,26,Yes,Yes,Ongoing,6604 STATE RT 52,LAKE HUNTINGTON,NY,12752,06/26/2025,,,SULLIVAN WEST HIGH SCHOOL,,185.0,478.0,0.3870292887029288
2023-2025,SULLIVAN WEST CSD,SULLIVAN WEWST ES @ JEFFERSONVILLE,Sullivan,Public School,591502040003,https://www.swcsd.org,121.0,29.0,0.0,92.0,Yes,107,14,Yes,Yes,Ongoing,33 SCHLHSE RD,JEFFERSONVILLE,NY,12748,07/09/2025,,,SULLIVAN WEWST  @ JEFFERSONVILLE,,,,
2023-2025,SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT,BROOKSIDE ES,Broome,Public School,030601060001,svsabers.org,64.0,0.0,0.0,64.0,Yes,64,0,Yes,,,3849 SADDLEMIRE RD,BINGHAMTON,NY,13903,06/04/2025,,,BROOKSIDE,,164.0,391.0,0.4194373401534527
2023-2025,SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT,F P DONNELLY SCHOOL,Broome,Public School,030601060004,svsabers.org,42.0,,,42.0,Yes,42,0,Yes,,,1168 CONKLIN RD,CONKLIN,NY,13748,05/27/2025,,,F DONNELLY SCHOOL,,125.0,306.0,0.4084967320261438
2023-2025,SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT,RICHARD T. STANK MS AT SUSQUEHANNA VALLEY,Broome,Public School,030601060005,svsabers.org,30.0,0.0,0.0,30.0,Yes,30,0,Yes,,,1040 CONKLIN RD,CONKLIN,NY,13748,06/06/2025,,,RICHARD T STANK  AT SUSQUEHANNA VALLEY,,150.0,325.0,0.4615384615384615
2023-2025,SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT,SUSQUEHANNA VALLEY SHS,Broome,Public School,030601060006,svsabers.org,46.0,0.0,0.0,46.0,Yes,46,0,Yes,,,1040 CONKLIN RD,CONKLIN,NY,13748,06/04/2025,,,SUSQUEHANNA VALLEY,,178.0,420.0,0.4238095238095238
2023-2025,SWEET HOME CENTRAL SCHOOL,GLENDALE ES,Erie,Public School,140207060002,https://www.sweethomeschools.org/parents/water-testing-in-new-york-schools,45.0,0.0,0.0,45.0,Yes,23,22,Yes,Yes,Ongoing,101 GLENDALE DR,TONAWANDA,NY,14150,03/27/2025,,,GLENDALE,,136.0,434.0,0.3133640552995391
2023-2025,SWEET HOME CENTRAL SCHOOL,HERITAGE HEIGHTS ES,Erie,Public School,140207060008,https://www.sweethomeschools.org/parents/water-testing-in-new-york-schools,33.0,0.0,0.0,33.0,Yes,25,8,Yes,Yes,Ongoing,2545 SWEET HOME RD,AMHERST,NY,14228,03/27/2025,,,HERITAGE HEIGHTS,,147.0,419.0,0.350835322195704
2023-2025,SWEET HOME CENTRAL SCHOOL,MAPLEMERE ES,Erie,Public School,140207060003,https://www.sweethomeschools.org/parents/water-testing-in-new-york-schools,54.0,0.0,0.0,54.0,Yes,24,30,Yes,Yes,Ongoing,236 E MAPLEMERE RD,AMHERST,NY,14221,03/27/2025,,,MAPLEMERE,,187.0,489.0,0.3824130879345603
2023-2025,SWEET HOME CENTRAL SCHOOL,SWEET HOME HS,Erie,Public School,140207060006,https://www.sweethomeschools.org/parents/water-testing-in-new-york-schools,56.0,0.0,0.0,56.0,Yes,54,2,Yes,Yes,Ongoing,1901 SWEET HOME RD,AMHERST,NY,14221,03/27/2025,,,SWEET HOME,,380.0,800.0,0.475
2023-2025,SWEET HOME CENTRAL SCHOOL,SWEET HOME MIDDLE SCHOOL,Erie,Public School,140207060005,https://www.sweethomeschools.org/parents/water-testing-in-new-york-schools,39.0,0.0,0.0,39.0,Yes,26,13,Yes,Yes,Ongoing,4150 MAPLE RD,AMHERST,NY,14221,03/27/2025,,,SWEET HOME MIDDLE SCHOOL,,380.0,800.0,0.475
2023-2025,SWEET HOME CENTRAL SCHOOL,WILLOW RIDGE ES,Erie,Public School,140207060007,https://www.sweethomeschools.org/parents/water-testing-in-new-york-schools,60.0,0.0,0.0,60.0,Yes,22,38,Yes,Yes,Ongoing,480 WILLOW RIDGE DR,AMHERST,NY,14221,03/27/2025,,,WILLOW RIDGE,,130.0,394.0,0.3299492385786802
2023-2025,SYOSSET CENTRAL SCHOOL,ALICE P WILLITS SCHOOL,Nassau,Public School,280502060002,https://www.syossetschools.org/,12.0,0.0,0.0,12.0,Yes,9,3,Yes,Yes,Ongoing,NANA PL,SYOSSET,NY,11791,06/30/2025,,,ALICE WILLITS SCHOOL,,44.0,301.0,0.1461794019933555
2023-2025,SYOSSET CENTRAL SCHOOL,BAYLIS SCHOOL,Nassau,Public School,280502060004,https://www.syossetschools.org/,11.0,0.0,0.0,11.0,No,9,0,No,,Ongoing,WOODBURY RD,SYOSSET,NY,11791,06/30/2025,,,BAYLIS SCHOOL,,61.0,422.0,0.1445497630331753
2023-2025,SYOSSET CENTRAL SCHOOL,BERRY HILL SCHOOL,Nassau,Public School,280502060003,https://www.syossetschools.org/,11.0,0.0,0.0,11.0,Yes,11,0,Yes,,Ongoing,181 COLD SPRING RD,SYOSSET,NY,11791,06/30/2025,,,BERRY HILL SCHOOL,,35.0,454.0,0.0770925110132158
2023-2025,SYOSSET CENTRAL SCHOOL,HARRY B THOMPSON MIDDLE SCHOOL,Nassau,Public School,280502060011,https://www.syossetschools.org/,27.0,0.0,0.0,27.0,Yes,17,10,Yes,Yes,Ongoing,98 ANN DR,SYOSSET,NY,11791,06/30/2025,,,HARRY THOMPSON MIDDLE SCHOOL,,132.0,955.0,0.1382198952879581
2023-2025,SYOSSET CENTRAL SCHOOL,ROBBINS LANE SCHOOL,Nassau,Public School,280502060006,https://www.syossetschools.org/,13.0,0.0,0.0,13.0,Yes,11,2,Yes,Yes,Ongoing,157 ROBBINS LANE,SYOSSET,NY,11791,06/30/2025,,,ROBBINS LANE SCHOOL,,86.0,469.0,0.1833688699360341
2023-2025,SYOSSET CENTRAL SCHOOL,SOUTH GROVE SCHOOL,Nassau,Public School,280502060007,https://www.syossetschools.org/,21.0,0.0,0.0,21.0,Yes,19,2,Yes,Yes,Ongoing,COLONY LN,SYOSSET,NY,11791,06/30/2025,,,SOUTH GROVE SCHOOL,,65.0,405.0,0.1604938271604938
2023-2025,SYOSSET CENTRAL SCHOOL,SOUTH WOODS J H S,Nassau,Public School,280502060012,https://www.syossetschools.org/,38.0,0.0,0.0,38.0,Yes,35,3,Yes,Yes,Ongoing,PELL LN,SYOSSET,NY,11791,06/30/2025,,,SOUTH WOODS S,,,,
2023-2025,SYOSSET CENTRAL SCHOOL,VILLAGE SCHOOL,Nassau,Public School,280502060010,https://www.syossetschools.org/,11.0,0.0,0.0,11.0,Yes,11,0,Yes,,Ongoing,90 CONVENT RD,SYOSSET,NY,11791,06/30/2025,,,VILLAGE SCHOOL,,32.0,408.0,0.0784313725490196
2023-2025,SYOSSET CENTRAL SCHOOL,WALT WHITMAN SCHOOL,Nassau,Public School,280502060001,https://www.syossetschools.org/,11.0,0.0,0.0,11.0,Yes,11,0,Yes,,Ongoing,WOODBURY RD,WOODBURY,NY,11797,06/30/2025,,,WALT WHITMAN SCHOOL,,34.0,398.0,0.0854271356783919
2023-2025,SYRACUSE CITY SCHOOLS,(LEAD ONLY) (BMI ONLY) SYRACUSE LATIN SCHOOL,Onondaga,Public School,421800010025,www.syracusecityschools.com,69.0,65.0,4.0,0.0,Yes,68,1,Yes,Yes,Ongoing,345 JAMESVILLE AVE,SYRACUSE,NY,13210,12/12/2024,,,SYRACUSE LATIN SCHOOL,,279.0,644.0,0.4332298136645963
2023-2025,SYRACUSE CITY SCHOOLS,(LEAD ONLY) FORMER JAMES A. SHEA MS,Onondaga,Public School,421800010045,www.syracusecityschools.com,26.0,0.0,26.0,,Yes,25,1,Yes,Yes,Ongoing,1607 S. GEDDES ST,SYRACUSE,NY,13207,07/21/2025,,,FORMER JAMES A SHEA,,,,
2023-2025,SYRACUSE CITY SCHOOLS,(LEAD ONLY) FORMER T. AARON LEVY MS,Onondaga,Public School,421800010036,www.syracusecityschools.com,36.0,0.0,36.0,,Yes,35,1,Yes,Yes,Ongoing,111 FELLOWS AVE,SYRACUSE,NY,13210,07/21/2025,,,FORMER T AARON LEVY,,,,
2023-2025,SYRACUSE CITY SCHOOLS,BELLEVUE SCHOOL,Onondaga,Public School,421800010004,www.syracusecityschools.com,36.0,36.0,0.0,0.0,,36,0,,Yes,Ongoing,530 STOLP AVE,SYRACUSE,NY,13207,03/12/2025,,,BELLEVUE SCHOOL,,373.0,399.0,0.9348370927318296
2023-2025,SYRACUSE CITY SCHOOLS,BRIGHTON ACADEMY,Onondaga,Public School,421800010020,www.syracusecityschools.com,38.0,36.0,2.0,,Yes,38,0,Yes,Yes,Complete,309 W BRIGHTON AVE,SYRACUSE,NY,13205,06/06/2024,,,BRIGHTON ACADEMY,,343.0,350.0,0.98
2023-2025,SYRACUSE CITY SCHOOLS,CLARY MIDDLE SCHOOL,Onondaga,Public School,421800010003,www.syracusecityschools.com,32.0,30.0,2.0,0.0,Yes,32,0,Yes,Yes,Complete,100 AMIDON DR,SYRACUSE,NY,13205,06/06/2024,,,CLARY MIDDLE SCHOOL,,234.0,263.0,0.8897338403041825
2023-2025,SYRACUSE CITY SCHOOLS,CORCORAN HIGH SCHOOL,Onondaga,Public School,421800010033,www.syracusecityschools.com,53.0,0.0,53.0,0.0,Yes,49,4,Yes,Yes,Ongoing,919 GLENWOOD AVE,SYRACUSE,NY,13207,12/12/2024,,,CORCORAN HIGH SCHOOL,,1081.0,1244.0,0.8689710610932476
2023-2025,SYRACUSE CITY SCHOOLS,DELAWARE SCHOOL,Onondaga,Public School,421800010041,www.syracusecityschools.com,70.0,54.0,8.0,8.0,Yes,70,0,Yes,Yes,Ongoing,900 S GEDDES ST,SYRACUSE,NY,13204,06/05/2025,,,DELAWARE SCHOOL,,379.0,395.0,0.959493670886076
2023-2025,SYRACUSE CITY SCHOOLS,DR EDWIN E WEEKS SCHOOL,Onondaga,Public School,421800010052,www.syracusecityschools.com,107.0,101.0,6.0,0.0,Yes,106,1,Yes,Yes,Complete,710 Hawley Ave.,SYRACUSE,NY,13207,04/16/2024,,,EDWIN WEEKS SCHOOL,,,,
2023-2025,SYRACUSE CITY SCHOOLS,EDWARD SMITH PRE-K-8 SCHOOL,Onondaga,Public School,421800010008,www.syracusecityschools.com,50.0,47.0,3.0,0.0,Yes,49,1,Yes,Yes,Complete,1106 LANCASTER AVE+BROAD S,SYRACUSE,NY,13210,06/13/2024,,,EDWARD SMITH PRE-K-8 SCHOOL,,466.0,675.0,0.6903703703703704
2023-2025,SYRACUSE CITY SCHOOLS,FRANKLIN SCHOOL,Onondaga,Public School,421800010021,www.syracusecityschools.com,65.0,64.0,1.0,0.0,Yes,64,1,Yes,Yes,Complete,428 S ALVORD ST,SYRACUSE,NY,13208,04/18/2024,,,FRANKLIN SCHOOL,,624.0,646.0,0.9659442724458204
2023-2025,SYRACUSE CITY SCHOOLS,FRAZER SCHOOL,Onondaga,Public School,421800010022,www.syracusecityschools.com,44.0,43.0,1.0,0.0,Yes,44,0,Yes,Yes,Complete,741 PARK AVE,SYRACUSE,NY,13204,04/06/2024,,,FRAZER SCHOOL,,737.0,787.0,0.9364675984752224
2023-2025,SYRACUSE CITY SCHOOLS,GRANT MIDDLE SCHOOL,Onondaga,Public School,421800010035,www.syracusecityschools.com,85.0,83.0,2.0,0.0,Yes,78,7,Yes,Yes,Ongoing,2400 GRANT BLVD,SYRACUSE,NY,13208,12/12/2024,,,GRANT MIDDLE SCHOOL,,569.0,601.0,0.9467554076539102
2023-2025,SYRACUSE CITY SCHOOLS,H W SMITH ELEM SCHOOL,Onondaga,Public School,421800010031,www.syracusecityschools.com,67.0,64.0,3.0,0.0,Yes,65,2,Yes,Yes,Complete,1130 SALT SPRINGS RD,SYRACUSE,NY,13224,04/19/2024,,,H SMITH  SCHOOL,,662.0,767.0,0.863102998696219
2023-2025,SYRACUSE CITY SCHOOLS,HENNINGER H S,Onondaga,Public School,421800010040,www.syracusecityschools.com,83.0,0.0,83.0,0.0,Yes,82,1,Yes,Yes,Ongoing,600 ROBINSON ST,SYRACUSE,NY,13206,12/12/2024,,,HENNINGER S,,1260.0,1443.0,0.8731808731808732
